Number,Name,Color,RGB
Ecru,Ecru/off-white,,"255, 247, 231"
Blanc,White,,"252, 252, 255"
White,White,,"252, 252, 255"
B5200,Snow White,,"255, 255, 255"
1,White Tin,,"239, 238, 240"
2,Tin,,"197, 196, 201"
3,Tin - Medium,,"176, 176, 181"
4,Tin - Dark,,"156, 155, 157"
5,Driftwood - Light,,"227, 204, 190"
6,Driftwood - Medium Light,,"220, 198, 184"
7,Driftwood,,"204, 184, 170"
8,Driftwood - Dark,,"157, 125, 113"
9,Cocoa - Very Dark,,"85, 32, 20"
10,Tender Green - Very Light,,"237, 254, 217"
11,Tender Green - Light,,"226, 237, 181"
12,Tender Green,,"205, 217, 154"
13,Nile Green - Medium Light,,"191, 246, 224"
14,Apple Green - Pale,,"208, 251, 178"
15,Apple Green,,"209, 237, 164"
16,Chartreuse - Light,,"164, 214, 124"
17,Yellow Plum - Light,,"229, 226, 114"
18,Yellow Plum,,"217, 213, 109"
19,Autumn Gold - Medium Light,,"247, 201, 95"
20,Shrimp,,"247, 175, 147"
21,Alizarian - Light,,"215, 153, 130"
22,Alizarian,,"188, 96, 78"
23,Apple Blossom,,"237, 226, 237"
24,White Lavender,,"224, 215, 238"
25,Lavender - Ultra Light,,"218, 210, 233"
26,Lavender - Pale,,"207, 200, 222"
27,White Violet,,"233, 236, 252"
28,Eggplant - Medium Light,,"125, 78, 146"
29,Eggplant,,"103, 64, 118"
30,Blueberry - Medium Light,,"109, 84, 211"
31,Blueberry,,"88, 52, 163"
32,Blueberry - Dark,,"77, 46, 138"
33,Fuchsia,,"217, 83, 159"
34,Fuchsia - Dark,,"174, 66, 128"
35,Fuchsia - Very Dark,,"115, 43, 85"
150,Red - Bright,,"207, 0, 83"
151,Pink,,"255, 203, 215"
152,Tawny - Dark,,"225, 161, 161"
153,Lilac,,"234, 197, 235"
154,Red - Very Dark,,"75, 35, 58"
155,Forget-me-not Blue,,"151, 116, 182"
156,Blue - Medium,,"133, 119, 180"
